url	topic_name	topic	probability	main_topic
http://twitter.com/i/web/status/1576044256409530369	stray_maxident_youmakestraykidsstay	151	100.0	151
http://twitter.com/i/web/status/1576044269713833986	stray_maxident_youmakestraykidsstay	151	3.0	151
http://twitter.com/i/web/status/1576044453735038982	november_wish_bringing	45	3.0	45
http://twitter.com/i/web/status/1576044602674786304	october_draining_tiring	66	3.0	-1
http://twitter.com/i/web/status/1576044651710414850	mint_nft_nfts	359	3.0	-1
http://twitter.com/i/web/status/1576045303236825090	drunk_alcohol_drink	79	23.0	79
http://twitter.com/i/web/status/1576045629821702144	cat_cats_kitten	13	41.0	13
http://twitter.com/i/web/status/1576046922896269312	coin_memecoin_bigeyescoin	187	1.0	187
http://twitter.com/i/web/status/1576047610028171264	october_draining_tiring	66	7.0	66
http://twitter.com/i/web/status/1576048019350245377	trauma_childhood_parents	125	21.0	125
http://twitter.com/i/web/status/1576049115384795136	abortion_roe_wade	24	28.0	24
http://twitter.com/i/web/status/1576049423888842752	marijuana_possession_possessing	219	3.0	-1
http://twitter.com/i/web/status/1576049578956111873	subathonnnn_earningmyrespect_follow	364	100.0	364
http://twitter.com/i/web/status/1576050732930736129	covid_vaccine_pfizer	0	32.0	0
http://twitter.com/i/web/status/1576051650963247104	climate_change_science	390	100.0	390
http://twitter.com/i/web/status/1576052051271770115	concert_missed_felt	124	3.0	124
http://twitter.com/i/web/status/1576052841017671680	could_us_be	46	24.0	46
http://twitter.com/i/web/status/1576053855242317824	twitter_tweet_whatsapp	18	22.0	18
http://twitter.com/i/web/status/1576055120797712385	abbott_greg_texas	60	9.0	60
http://twitter.com/i/web/status/1576056518432018432	november_wish_bringing	45	18.0	45
http://twitter.com/i/web/status/1576057232482967553	story_nae_moral	303	100.0	303
http://twitter.com/i/web/status/1576057928687095808	nigga_niggas_shoes	54	27.0	54
http://twitter.com/i/web/status/1576059328284467202	stray_maxident_youmakestraykidsstay	151	9.0	151
http://twitter.com/i/web/status/1576059388711747585	pumpkin_patch_spice	342	100.0	342
http://twitter.com/i/web/status/1576059432143753217	boobs_boob_tits	380	100.0	380
http://twitter.com/i/web/status/1576060057262780416	st_october_octopop	339	54.0	339
http://twitter.com/i/web/status/1576060283256070145	ji_visit_yatra	62	1.0	-1
http://twitter.com/i/web/status/1576060528727756800	draw_idr_like	266	4.0	266
http://twitter.com/i/web/status/1576060946434228225	spooky_spooks_season	245	100.0	245
http://twitter.com/i/web/status/1576062743236337664	kaeya_arg_kaveh	304	100.0	304
http://twitter.com/i/web/status/1576063085470572544	wl_tag_nft	77	1.0	-1
http://twitter.com/i/web/status/1576063085470572544	airdrop_aptos_airdrops	103	1.0	-1
http://twitter.com/i/web/status/1576063085470572544	mint_nft_nfts	359	1.0	-1
http://twitter.com/i/web/status/1576065526316400641	ugly_pretty_uglier	467	3.0	-1
http://twitter.com/i/web/status/1576066261918060545	st_october_octopop	339	100.0	339
http://twitter.com/i/web/status/1576066266527191041	visuals_psychology_powerful	441	100.0	441
http://twitter.com/i/web/status/1576066491551600640	aaron_royals_mets	142	100.0	142
