topic_id	topic_name	meta_topic	topic_word	topic_size	doc_1	doc_2	doc_3	doc_4	doc_5	doc_6	doc_7	doc_8	doc_9	doc_10	doc_11	doc_12	doc_13	doc_14	doc_15	doc_16	doc_17	doc_18	doc_19	doc_20
205	thegroup_pcas_vote	19	thegroup (27.0), pcas (18.0), vote (6.0), bts (6.0), year (3.0), twt (3.0), voting (2.0), at (2.0), reply (2.0), pca (2.0)	28	http://twitter.com/i/web/status/1585756978453831681	http://twitter.com/i/web/status/1586009191457644545	http://twitter.com/i/web/status/1587041405637054464	http://twitter.com/i/web/status/1586772420593000448	http://twitter.com/i/web/status/1586758952594935808	http://twitter.com/i/web/status/1585357676359585792	http://twitter.com/i/web/status/1586700024389373952	http://twitter.com/i/web/status/1585532745916174336	http://twitter.com/i/web/status/1586671502765608961	http://twitter.com/i/web/status/1586600299547934720	http://twitter.com/i/web/status/1585294080049053696	http://twitter.com/i/web/status/1585538539017494528	http://twitter.com/i/web/status/1586092409066491906	http://twitter.com/i/web/status/1587452903505248262	http://twitter.com/i/web/status/1586163833453760514	http://twitter.com/i/web/status/1587060316864745473	http://twitter.com/i/web/status/1585423101780955136	http://twitter.com/i/web/status/1587272260569661440	http://twitter.com/i/web/status/1586933845663825921	http://twitter.com/i/web/status/1586216968864112640
206	magicman_jacksonwangworldtour_magicmanworldtour	-1	magicman (16.0), jacksonwangworldtour (8.0), magicmanworldtour (8.0), sale (8.0), venue (6.0), bangkok (6.0), tour (6.0), lumpur (5.0), kuala (5.0), comin (4.0)	24	http://twitter.com/i/web/status/1579321507159085056	http://twitter.com/i/web/status/1577344425180950528	http://twitter.com/i/web/status/1577611816393383938	http://twitter.com/i/web/status/1577811552320851975	http://twitter.com/i/web/status/1585875098363645952	http://twitter.com/i/web/status/1583323319604244480	http://twitter.com/i/web/status/1582229736893612032	http://twitter.com/i/web/status/1579307852581470209	http://twitter.com/i/web/status/1576503901075165184	http://twitter.com/i/web/status/1580155265386958848	http://twitter.com/i/web/status/1578425504272506887	http://twitter.com/i/web/status/1580772791468843012	http://twitter.com/i/web/status/1580838183432261634	http://twitter.com/i/web/status/1577622331845144576	http://twitter.com/i/web/status/1585934616262647808	http://twitter.com/i/web/status/1585120049550893056	http://twitter.com/i/web/status/1585534754413166592	http://twitter.com/i/web/status/1580805019791953920	http://twitter.com/i/web/status/1576226673506205696	http://twitter.com/i/web/status/1585690090713776131
207	bybit_usdt_pool	-1	bybit (7.0), usdt (6.0), pool (5.0), earn (5.0), mtk (5.0), mgp (4.0), trade (3.0), stake (3.0), prize (3.0), wkt (3.0)	34	http://twitter.com/i/web/status/1587373682917134338	http://twitter.com/i/web/status/1587065247638163457	http://twitter.com/i/web/status/1587022321415589888	http://twitter.com/i/web/status/1586622424766099458	http://twitter.com/i/web/status/1586240152950648832	http://twitter.com/i/web/status/1586160892235853824	http://twitter.com/i/web/status/1585988635513364480	http://twitter.com/i/web/status/1585549366621872128	http://twitter.com/i/web/status/1585538032052342784	http://twitter.com/i/web/status/1585539812190208000	http://twitter.com/i/web/status/1585909842467659776	http://twitter.com/i/web/status/1584873247061209088	http://twitter.com/i/web/status/1579992397366251520	http://twitter.com/i/web/status/1585541621655142400	http://twitter.com/i/web/status/1585559626577481728	http://twitter.com/i/web/status/1585553759664410624	http://twitter.com/i/web/status/1586239043204837377	http://twitter.com/i/web/status/1585879483768524800	http://twitter.com/i/web/status/1584741743395676161	http://twitter.com/i/web/status/1586375752261328896
208	gogh_van_vincent	3	gogh (20.0), van (20.0), vincent (11.0), painting (9.0), paint (8.0), painter (6.0), roux (5.0), chronological (4.0), paintings (4.0), skeleton (4.0)	35	http://twitter.com/i/web/status/1584322138432950272	http://twitter.com/i/web/status/1584228500071862273	http://twitter.com/i/web/status/1586749864435748866	http://twitter.com/i/web/status/1586391943281606662	http://twitter.com/i/web/status/1585992335745486850	http://twitter.com/i/web/status/1585326911118807040	http://twitter.com/i/web/status/1580935141316141056	http://twitter.com/i/web/status/1581028220627189760	http://twitter.com/i/web/status/1581061920953540608	http://twitter.com/i/web/status/1584963389235036161	http://twitter.com/i/web/status/1581035723444002816	http://twitter.com/i/web/status/1580994334887145472	http://twitter.com/i/web/status/1585493134842204161	http://twitter.com/i/web/status/1587160299991437312	http://twitter.com/i/web/status/1584618843112366080	http://twitter.com/i/web/status/1585703129684840453	http://twitter.com/i/web/status/1577104501743357952	http://twitter.com/i/web/status/1585054981270687745	http://twitter.com/i/web/status/1583255878538436609	http://twitter.com/i/web/status/1586252642837499904
209	quotes_self_straightforward	3	quotes (33.0), self (30.0), straightforward (30.0), care (21.0), alcohol (4.0), provokes (3.0), form (3.0), working (3.0), alter (3.0), surrounding (3.0)	18	http://twitter.com/i/web/status/1587131407696117760	http://twitter.com/i/web/status/1584545877498417152	http://twitter.com/i/web/status/1586673359462465537	http://twitter.com/i/web/status/1586014995560927232	http://twitter.com/i/web/status/1582736306819371008	http://twitter.com/i/web/status/1582767421844525057	http://twitter.com/i/web/status/1585300355503378433	http://twitter.com/i/web/status/1583501276834242566	http://twitter.com/i/web/status/1583775086217396224	http://twitter.com/i/web/status/1584877529164152834	http://twitter.com/i/web/status/1584422133207568384	http://twitter.com/i/web/status/1586405484172492801	http://twitter.com/i/web/status/1576957965470662658	http://twitter.com/i/web/status/1579843125237121028	http://twitter.com/i/web/status/1576018807273185280	http://twitter.com/i/web/status/1586234281470197760	http://twitter.com/i/web/status/1583391850605395969	http://twitter.com/i/web/status/1576171301869584385		
210	ten_birthday_nctlab	40	ten (38.0), birthday (25.0), nctlab (20.0), station (18.0), wayv (18.0), lab (18.0), nct (17.0), kst (6.0), pm (4.0), mv (2.0)	24	http://twitter.com/i/web/status/1583745222638542848	http://twitter.com/i/web/status/1583382590647664641	http://twitter.com/i/web/status/1584832137382875137	http://twitter.com/i/web/status/1584469749404094470	http://twitter.com/i/web/status/1584469747906891777	http://twitter.com/i/web/status/1583744975996698629	http://twitter.com/i/web/status/1583382835624349697	http://twitter.com/i/web/status/1583382834898681856	http://twitter.com/i/web/status/1583020298215247874	http://twitter.com/i/web/status/1584832139908075522	http://twitter.com/i/web/status/1583382584674775040	http://twitter.com/i/web/status/1583745222873341952	http://twitter.com/i/web/status/1583744978903306244	http://twitter.com/i/web/status/1583020289558196224	http://twitter.com/i/web/status/1583020267936550917	http://twitter.com/i/web/status/1583020199480958976	http://twitter.com/i/web/status/1585198810921566213	http://twitter.com/i/web/status/1585195074564259841	http://twitter.com/i/web/status/1585217230236975108	http://twitter.com/i/web/status/1577486762884345860
211	dad_father_son	12	dad (18.0), father (6.0), son (3.0), fcked (3.0), reintroducing (3.0), burglary (3.0), scramble (3.0), screeensss (3.0), slid (3.0), aang (3.0)	38	http://twitter.com/i/web/status/1578698990153236482	http://twitter.com/i/web/status/1579497000244219904	http://twitter.com/i/web/status/1576938867793760259	http://twitter.com/i/web/status/1585786505280122881	http://twitter.com/i/web/status/1577870037683240969	http://twitter.com/i/web/status/1581620196934287360	http://twitter.com/i/web/status/1579428075439554560	http://twitter.com/i/web/status/1578985415511576578	http://twitter.com/i/web/status/1580566012742639616	http://twitter.com/i/web/status/1578460245642588160	http://twitter.com/i/web/status/1577517704059277316	http://twitter.com/i/web/status/1582864852887826432	http://twitter.com/i/web/status/1576571072555909120	http://twitter.com/i/web/status/1576042033273131009	http://twitter.com/i/web/status/1579888569304645632	http://twitter.com/i/web/status/1578312829538795520	http://twitter.com/i/web/status/1580719010903396352	http://twitter.com/i/web/status/1586691419355455490	http://twitter.com/i/web/status/1578841196902100992	http://twitter.com/i/web/status/1581054238297231360
212	rhythm_korea_suga	40	rhythm (13.0), korea (11.0), suga (5.0), blues (5.0), daejeon (4.0), gosaeng (4.0), feel (4.0), interview (4.0), carpet (3.0), pohang (3.0)	32	http://twitter.com/i/web/status/1582893584738844674	http://twitter.com/i/web/status/1582893570088112130	http://twitter.com/i/web/status/1585436976211456000	http://twitter.com/i/web/status/1585430180985966592	http://twitter.com/i/web/status/1582945838870822913	http://twitter.com/i/web/status/1582900483429003265	http://twitter.com/i/web/status/1580738974611800066	http://twitter.com/i/web/status/1580741447002689536	http://twitter.com/i/web/status/1580742669516832769	http://twitter.com/i/web/status/1582894398471163904	http://twitter.com/i/web/status/1576969265223061515	http://twitter.com/i/web/status/1578244118001881088	http://twitter.com/i/web/status/1580738292198227968	http://twitter.com/i/web/status/1579627039715647488	http://twitter.com/i/web/status/1582894864471330816	http://twitter.com/i/web/status/1585613699376680962	http://twitter.com/i/web/status/1586486016205983744	http://twitter.com/i/web/status/1580812991779729408	http://twitter.com/i/web/status/1581337938474205185	http://twitter.com/i/web/status/1578302263067451392
213	musicians_pharrell_rmxpharrellxrollingstone	12	musicians (13.0), pharrell (9.0), rmxpharrellxrollingstone (9.0), rm (8.0), rolling (5.0), williams (4.0), stone (4.0), conversation (2.0), collab (2.0), upcoming (2.0)	41	http://twitter.com/i/web/status/1587453253314383872	http://twitter.com/i/web/status/1587436800020094977	http://twitter.com/i/web/status/1587426760760692738	http://twitter.com/i/web/status/1587425714483204097	http://twitter.com/i/web/status/1587422608131227648	http://twitter.com/i/web/status/1587421974606872576	http://twitter.com/i/web/status/1587417922963652608	http://twitter.com/i/web/status/1587416825364619264	http://twitter.com/i/web/status/1587414397907001344	http://twitter.com/i/web/status/1587414651654082562	http://twitter.com/i/web/status/1587415909831876616	http://twitter.com/i/web/status/1587421048416657408	http://twitter.com/i/web/status/1587416631134900225	http://twitter.com/i/web/status/1587419224095559682	http://twitter.com/i/web/status/1587420075505631236	http://twitter.com/i/web/status/1587416549589241863	http://twitter.com/i/web/status/1587455672035250180	http://twitter.com/i/web/status/1587420637110444038	http://twitter.com/i/web/status/1587421324594409474	http://twitter.com/i/web/status/1587416211662540800
214	love_chit_brainwash	56	love (10.0), chit (4.0), brainwash (4.0), loveeeee (3.0), sparkly (3.0), plead (3.0), sang (3.0), chatting (3.0), sooo (3.0), much (3.0)	26	http://twitter.com/i/web/status/1582867989266714625	http://twitter.com/i/web/status/1586182530344312832	http://twitter.com/i/web/status/1582889887606263809	http://twitter.com/i/web/status/1586147879885979648	http://twitter.com/i/web/status/1581978013343698944	http://twitter.com/i/web/status/1581919625490878466	http://twitter.com/i/web/status/1581239235725533186	http://twitter.com/i/web/status/1585260662892408832	http://twitter.com/i/web/status/1586183430168989697	http://twitter.com/i/web/status/1578892673615699968	http://twitter.com/i/web/status/1586181328906510337	http://twitter.com/i/web/status/1577293631178035206	http://twitter.com/i/web/status/1584759130585436160	http://twitter.com/i/web/status/1578413151619403776	http://twitter.com/i/web/status/1585850087443468289	http://twitter.com/i/web/status/1583060522383028224	http://twitter.com/i/web/status/1580822211786670085	http://twitter.com/i/web/status/1586073574778974208	http://twitter.com/i/web/status/1578740260993138689	http://twitter.com/i/web/status/1576093702673510402
